,s_id,char_id,text,conventionality,metaphor,pos,relation,rel_id,s_text,doc_id,url,gen_version,compound,complex
27,5-15,"[521-528, 561-564]","[reichte, aus]",O,O,"[VVFIN, PTKVZ]",_,_,"Das Land hatte zwar versucht, eine nachträgliche Begründung nachzuschieben, doch auch diese reichte den Richtern in Karlsruhe nicht aus.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
28,5-17,533-541,Richtern,O,O,NN,_,_,"Das Land hatte zwar versucht, eine nachträgliche Begründung nachzuschieben, doch auch diese reichte den Richtern in Karlsruhe nicht aus.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
29,6-3,573-590,Urteilsbegründung,O,O,NN,_,_,"In der Urteilsbegründung betonte der BGH, dass Transparenz und Nachvollziehbarkeit für solch weitreichende Eingriffe in den Wohnungsmarkt unabdingbar seien.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
30,6-4,591-598,betonte,KON,MRW,VVFIN,_,_,"In der Urteilsbegründung betonte der BGH, dass Transparenz und Nachvollziehbarkeit für solch weitreichende Eingriffe in den Wohnungsmarkt unabdingbar seien.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
31,6-9,613-624,Transparenz,KON,MRW,NN,_,_,"In der Urteilsbegründung betonte der BGH, dass Transparenz und Nachvollziehbarkeit für solch weitreichende Eingriffe in den Wohnungsmarkt unabdingbar seien.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
32,6-11,629-648,Nachvollziehbarkeit,O,O,NN,_,_,"In der Urteilsbegründung betonte der BGH, dass Transparenz und Nachvollziehbarkeit für solch weitreichende Eingriffe in den Wohnungsmarkt unabdingbar seien.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
33,6-14,659-672,weitreichende,KON,MRW,ADJA,_,_,"In der Urteilsbegründung betonte der BGH, dass Transparenz und Nachvollziehbarkeit für solch weitreichende Eingriffe in den Wohnungsmarkt unabdingbar seien.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
34,6-15,673-682,Eingriffe,KON,MRW,NN,_,_,"In der Urteilsbegründung betonte der BGH, dass Transparenz und Nachvollziehbarkeit für solch weitreichende Eingriffe in den Wohnungsmarkt unabdingbar seien.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
35,6-18,690-703,Wohnungsmarkt,O,O,NN,_,_,"In der Urteilsbegründung betonte der BGH, dass Transparenz und Nachvollziehbarkeit für solch weitreichende Eingriffe in den Wohnungsmarkt unabdingbar seien.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
36,6-19,704-715,unabdingbar,O,O,ADJD,_,_,"In der Urteilsbegründung betonte der BGH, dass Transparenz und Nachvollziehbarkeit für solch weitreichende Eingriffe in den Wohnungsmarkt unabdingbar seien.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
37,7-4,738-748,Betroffene,O,O,NN,_,_,Nur so könnten Betroffene die Rechtmäßigkeit der Maßnahmen prüfen und vor Gericht gegebenenfalls anfechten.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
38,7-6,753-767,Rechtmäßigkeit,O,O,NN,_,_,Nur so könnten Betroffene die Rechtmäßigkeit der Maßnahmen prüfen und vor Gericht gegebenenfalls anfechten.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
39,7-8,772-781,Maßnahmen,O,O,NN,_,_,Nur so könnten Betroffene die Rechtmäßigkeit der Maßnahmen prüfen und vor Gericht gegebenenfalls anfechten.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
40,7-9,782-788,prüfen,O,O,VVINF,_,_,Nur so könnten Betroffene die Rechtmäßigkeit der Maßnahmen prüfen und vor Gericht gegebenenfalls anfechten.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
41,7-12,797-804,Gericht,O,O,NN,_,_,Nur so könnten Betroffene die Rechtmäßigkeit der Maßnahmen prüfen und vor Gericht gegebenenfalls anfechten.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
42,7-14,820-829,anfechten,O,O,VVINF,_,_,Nur so könnten Betroffene die Rechtmäßigkeit der Maßnahmen prüfen und vor Gericht gegebenenfalls anfechten.,8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
43,8-2,835-850,Mietpreisbremse,O,O,NN,_,_,"Die Mietpreisbremse wurde 2015 eingeführt, um den rasant steigenden Mieten in Ballungsgebieten entgegenzuwirken.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
44,8-5,862-872,eingeführt,KON,MRW,VVPP,_,_,"Die Mietpreisbremse wurde 2015 eingeführt, um den rasant steigenden Mieten in Ballungsgebieten entgegenzuwirken.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
45,8-9,881-887,rasant,O,O,ADJD,_,_,"Die Mietpreisbremse wurde 2015 eingeführt, um den rasant steigenden Mieten in Ballungsgebieten entgegenzuwirken.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
46,8-10,888-898,steigenden,KON,MRW,ADJA,_,_,"Die Mietpreisbremse wurde 2015 eingeführt, um den rasant steigenden Mieten in Ballungsgebieten entgegenzuwirken.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
47,8-11,899-905,Mieten,O,O,NN,_,_,"Die Mietpreisbremse wurde 2015 eingeführt, um den rasant steigenden Mieten in Ballungsgebieten entgegenzuwirken.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
48,8-13,909-925,Ballungsgebieten,O,O,NN,_,_,"Die Mietpreisbremse wurde 2015 eingeführt, um den rasant steigenden Mieten in Ballungsgebieten entgegenzuwirken.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
49,8-14,926-942,entgegenzuwirken,O,O,VVIZU,_,_,"Die Mietpreisbremse wurde 2015 eingeführt, um den rasant steigenden Mieten in Ballungsgebieten entgegenzuwirken.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
50,9-3,953-963,verhindern,O,PERS,VVINF,_,_,"Sie soll verhindern, dass Vermieter bei einem Mieterwechsel die Mieten stark erhöhen.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
51,9-6,970-979,Vermieter,O,O,NN,_,_,"Sie soll verhindern, dass Vermieter bei einem Mieterwechsel die Mieten stark erhöhen.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
52,9-9,990-1003,Mieterwechsel,O,O,NN,_,_,"Sie soll verhindern, dass Vermieter bei einem Mieterwechsel die Mieten stark erhöhen.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
53,9-11,1008-1014,Mieten,O,O,NN,_,_,"Sie soll verhindern, dass Vermieter bei einem Mieterwechsel die Mieten stark erhöhen.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
54,9-12,1015-1020,stark,KON,MRW,ADJD,_,_,"Sie soll verhindern, dass Vermieter bei einem Mieterwechsel die Mieten stark erhöhen.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
55,9-13,1021-1028,erhöhen,KON,MRW,VVINF,_,_,"Sie soll verhindern, dass Vermieter bei einem Mieterwechsel die Mieten stark erhöhen.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
56,10-2,1035-1048,grundsätzlich,O,O,ADJD,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
57,10-5,1058-1070,Bundesländer,O,O,NN,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
58,10-6,1071-1083,verpflichtet,O,O,VVPP,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
59,10-10,1094-1110,Rechtsverordnung,O,O,NN,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
60,10-11,1111-1116,genau,O,O,ADJD,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
61,10-13,1120-1130,definieren,O,O,VVINF,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
62,10-17,1143-1151,Gebieten,O,O,NN,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
63,10-19,1156-1171,Mietpreisbremse,O,O,NN,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
64,10-20,1172-1176,gilt,O,O,VVFIN,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
65,10-24,1193-1201,Maßnahme,O,O,NN,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
66,10-26,1207-1216,notwendig,O,O,ADJD,_,_,"Doch grundsätzlich sind die Bundesländer verpflichtet, in einer Rechtsverordnung genau zu definieren, in welchen Gebieten die Mietpreisbremse gilt und warum diese Maßnahme dort notwendig ist.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
67,11-2,1225-1237,vorliegenden,KON,MRW,ADJA,_,_,"Im vorliegenden Fall bemängelte der BGH, dass Hessen weder die betroffenen Gebiete genau beschrieben noch ausreichend erläutert habe, wieso in diesen Gebieten eine Wohnungsnotlage herrsche.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
68,11-3,1238-1242,Fall,O,O,NN,_,_,"Im vorliegenden Fall bemängelte der BGH, dass Hessen weder die betroffenen Gebiete genau beschrieben noch ausreichend erläutert habe, wieso in diesen Gebieten eine Wohnungsnotlage herrsche.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
69,11-4,1243-1253,bemängelte,O,O,VVFIN,_,_,"Im vorliegenden Fall bemängelte der BGH, dass Hessen weder die betroffenen Gebiete genau beschrieben noch ausreichend erläutert habe, wieso in diesen Gebieten eine Wohnungsnotlage herrsche.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
70,11-12,1285-1296,betroffenen,O,O,ADJA,_,_,"Im vorliegenden Fall bemängelte der BGH, dass Hessen weder die betroffenen Gebiete genau beschrieben noch ausreichend erläutert habe, wieso in diesen Gebieten eine Wohnungsnotlage herrsche.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
71,11-13,1297-1304,Gebiete,O,O,NN,_,_,"Im vorliegenden Fall bemängelte der BGH, dass Hessen weder die betroffenen Gebiete genau beschrieben noch ausreichend erläutert habe, wieso in diesen Gebieten eine Wohnungsnotlage herrsche.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
72,11-14,1305-1310,genau,O,O,ADJD,_,_,"Im vorliegenden Fall bemängelte der BGH, dass Hessen weder die betroffenen Gebiete genau beschrieben noch ausreichend erläutert habe, wieso in diesen Gebieten eine Wohnungsnotlage herrsche.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
73,11-15,1311-1322,beschrieben,O,O,VVPP,_,_,"Im vorliegenden Fall bemängelte der BGH, dass Hessen weder die betroffenen Gebiete genau beschrieben noch ausreichend erläutert habe, wieso in diesen Gebieten eine Wohnungsnotlage herrsche.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
74,11-17,1328-1339,ausreichend,O,O,ADJD,_,_,"Im vorliegenden Fall bemängelte der BGH, dass Hessen weder die betroffenen Gebiete genau beschrieben noch ausreichend erläutert habe, wieso in diesen Gebieten eine Wohnungsnotlage herrsche.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
75,11-18,1340-1349,erläutert,O,O,VVPP,_,_,"Im vorliegenden Fall bemängelte der BGH, dass Hessen weder die betroffenen Gebiete genau beschrieben noch ausreichend erläutert habe, wieso in diesen Gebieten eine Wohnungsnotlage herrsche.",8cbb5f5f-b23f-4002-86fb-8ed5884b7b2b,https://www.sueddeutsche.de/politik/urteil-bgh-kippt-mietverordnung-1.4553310_1a,gpt4o,False,0
